PatchID,XCOORD,YCOORD,ID,MID,FID,sex,age,size,mature,newmature,layeggs,capture,recapture,state,CDist,Hindex,Species,ClassFile,SubPatchID,L0A0,L0A1,L0A2,L0A3,L0A4,L0A5,L0A6,L0A7,L0A8,L0A9,L1A0,L1A1,L1A2,L1A3,L1A4,L1A5,L1A6,L1A7,L1A8,L1A9
1,2540470.832,712452.2021,R1_F1_m-1f-1_P1_Y-1_U0,-9999,-9999,MXY,1,31.0,0,0,0.0,0,0,0,-9999.0,-9999.0,1,P0_CV0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0
1,2540470.832,712452.2021,R1_F1_m-1f-1_P1_Y-1_U1,-9999,-9999,MXY,1,31.0,0,0,0.0,0,0,0,-9999.0,-9999.0,1,P0_CV0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0
1,2540470.832,712452.2021,R1_F1_m-1f-1_P1_Y-1_U2,-9999,-9999,FXX,1,31.0,0,0,0.0,0,0,0,-9999.0,-9999.0,1,P0_CV0,1,0,0,0,0,0,0,2,0,0,0,0,1,1,0,0,0,0,0,0,0
1,2540470.832,712452.2021,R1_F1_m-1f-1_P1_Y-1_U3,-9999,-9999,FXX,2,53.0,1,0,1.0,0,0,0,-9999.0,-9999.0,1,P0_CV0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0
1,2540470.832,712452.2021,R1_F1_m-1f-1_P1_Y-1_U4,-9999,-9999,FXX,1,31.0,0,0,0.0,0,0,0,-9999.0,-9999.0,1,P0_CV0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0
1,2540470.832,712452.2021,R1_F1_m-1f-1_P1_Y-1_U5,-9999,-9999,FXX,2,53.0,1,0,1.0,0,0,0,-9999.0,-9999.0,1,P0_CV0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1
1,2540470.832,712452.2021,R1_F1_m-1f-1_P1_Y-1_U6,-9999,-9999,MXY,2,53.0,1,0,0.0,0,0,0,-9999.0,-9999.0,1,P0_CV0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0
1,2540470.832,712452.2021,R1_F1_m-1f-1_P1_Y-1_U7,-9999,-9999,MXY,1,31.0,0,0,0.0,0,0,0,-9999.0,0.5,1,P0_CV0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
1,2540470.832,712452.2021,R1_F1_m-1f-1_P1_Y-1_U8,-9999,-9999,MXY,2,53.0,1,0,0.0,0,0,0,-9999.0,-9999.0,1,P0_CV0,1,1,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
1,2540470.832,712452.2021,R1_F1_m-1f-1_P1_Y-1_U9,-9999,-9999,MXY,1,31.0,0,0,0.0,0,0,0,-9999.0,-9999.0,1,P0_CV0,1,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
1,2540470.832,712452.2021,R1_F1_m-1f-1_P1_Y-1_U10,-9999,-9999,FXX,2,53.0,1,0,1.0,0,0,0,-9999.0,-9999.0,1,P0_CV0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,1,0,0,0
1,2540470.832,712452.2021,R1_F1_m-1f-1_P1_Y-1_U11,-9999,-9999,FXX,2,53.0,1,0,1.0,0,0,0,-9999.0,-9999.0,1,P0_CV0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0
1,2540470.832,712452.2021,R1_F1_m-1f-1_P1_Y-1_U12,-9999,-9999,FXX,1,31.0,0,0,0.0,0,0,0,-9999.0,-9999.0,1,P0_CV0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0
1,2540470.832,712452.2021,R1_F1_m-1f-1_P1_Y-1_U13,-9999,-9999,FXX,3,92.0,1,0,1.0,0,0,0,-9999.0,-9999.0,1,P0_CV0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0
1,2540470.832,712452.2021,R1_F1_m-1f-1_P1_Y-1_U14,-9999,-9999,FXX,2,53.0,1,0,1.0,0,0,0,-9999.0,-9999.0,1,P0_CV0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
1,2540470.832,712452.2021,R1_F1_m-1f-1_P1_Y-1_U15,-9999,-9999,MXY,1,31.0,0,0,0.0,0,0,0,-9999.0,-9999.0,1,P0_CV0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2
1,2540470.832,712452.2021,R1_F1_m-1f-1_P1_Y-1_U16,-9999,-9999,MXY,3,92.0,1,0,0.0,0,0,0,-9999.0,-9999.0,1,P0_CV0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1
1,2540470.832,712452.2021,R1_F1_m-1f-1_P1_Y-1_U17,-9999,-9999,MXY,2,53.0,1,0,0.0,0,0,0,-9999.0,-9999.0,1,P0_CV0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0
1,2540470.832,712452.2021,R1_F1_m-1f-1_P1_Y-1_U18,-9999,-9999,MXY,1,31.0,0,0,0.0,0,0,0,-9999.0,-9999.0,1,P0_CV0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0
1,2540470.832,712452.2021,R1_F1_m-1f-1_P1_Y-1_U19,-9999,-9999,FXX,3,92.0,1,0,1.0,0,0,0,-9999.0,-9999.0,1,P0_CV0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0
1,2540470.832,712452.2021,R1_F1_m-1f-1_P1_Y-1_U20,-9999,-9999,FXX,1,31.0,0,0,0.0,0,0,0,-9999.0,-9999.0,1,P0_CV0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0
1,2540470.832,712452.2021,R1_F1_m-1f-1_P1_Y-1_U21,-9999,-9999,MXY,2,53.0,1,0,0.0,0,0,0,-9999.0,-9999.0,1,P0_CV0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1
1,2540470.832,712452.2021,R1_F1_m-1f-1_P1_Y-1_U22,-9999,-9999,MXY,3,92.0,1,0,0.0,0,0,0,-9999.0,-9999.0,1,P0_CV0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0
1,2540470.832,712452.2021,R1_F1_m-1f-1_P1_Y-1_U23,-9999,-9999,FXX,1,31.0,0,0,0.0,0,0,0,-9999.0,-9999.0,1,P0_CV0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0
1,2540470.832,712452.2021,R1_F1_m-1f-1_P1_Y-1_U24,-9999,-9999,FXX,1,31.0,0,0,0.0,0,0,0,-9999.0,-9999.0,1,P0_CV0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0
1,2540470.832,712452.2021,R1_F1_m-1f-1_P1_Y-1_U25,-9999,-9999,MXY,2,53.0,1,0,0.0,0,0,0,-9999.0,-9999.0,1,P0_CV0,1,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0
1,2540470.832,712452.2021,R1_F1_m-1f-1_P1_Y-1_U26,-9999,-9999,FXX,2,53.0,1,0,1.0,0,0,0,-9999.0,-9999.0,1,P0_CV0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,1,0
1,2540470.832,712452.2021,R1_F1_m-1f-1_P1_Y-1_U27,-9999,-9999,MXY,2,53.0,1,0,0.0,0,0,0,-9999.0,-9999.0,1,P0_CV0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
1,2540470.832,712452.2021,R1_F1_m-1f-1_P1_Y-1_U28,-9999,-9999,MXY,3,92.0,1,0,0.0,0,0,0,-9999.0,-9999.0,1,P0_CV0,1,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0
1,2540470.832,712452.2021,R1_F1_m-1f-1_P1_Y-1_U29,-9999,-9999,FXX,1,31.0,0,0,0.0,0,0,0,-9999.0,-9999.0,1,P0_CV0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0
1,2540470.832,712452.2021,R1_F1_m-1f-1_P1_Y-1_U30,-9999,-9999,FXX,1,31.0,0,0,0.0,0,0,0,-9999.0,0.5,1,P0_CV0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
1,2540470.832,712452.2021,R1_F1_m-1f-1_P1_Y-1_U31,-9999,-9999,MXY,1,31.0,0,0,0.0,0,0,0,-9999.0,0.5,1,P0_CV0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
1,2540470.832,712452.2021,R1_F1_m-1f-1_P1_Y-1_U32,-9999,-9999,MXY,2,53.0,1,0,0.0,0,0,0,-9999.0,-9999.0,1,P0_CV0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
1,2540470.832,712452.2021,R1_F1_m-1f-1_P1_Y-1_U33,-9999,-9999,FXX,2,53.0,1,0,1.0,0,0,0,-9999.0,-9999.0,1,P0_CV0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0
1,2540470.832,712452.2021,R1_F1_m-1f-1_P1_Y-1_U34,-9999,-9999,FXX,1,31.0,0,0,0.0,0,0,0,-9999.0,-9999.0,1,P0_CV0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
